Player,MP,WS,WS/48,BPM
A.C. Green,2164,6.1,0.135,0.0
A.J. English,1443,0.2,0.008,-3.9
A.J. Wynder,39,0.0,-0.051,-5.3
Adrian Caldwell,343,0.1,0.021,-3.1
Adrian Dantley*,126,0.1,0.052000000000000005,-4.2
Alaa Abdelnaby,290,0.5,0.079,-4.6
Alan Ogg,261,0.3,0.053,-5.2
Alec Kessler,1259,-0.1,-0.005,-7.5
Alex English*,1748,0.6,0.017,-3.7
Alton Lister,1552,1.9,0.057999999999999996,-2.9
Alvin Robertson,2598,7.7,0.142,4.4
Andre Turner,1407,1.9,0.064,-1.7
Andrew Lang,1152,3.7,0.155,1.2
Andy Toolson,470,0.6,0.057,-2.8
Anthony Bonner,750,0.7,0.044000000000000004,-2.1
Anthony Cook,1121,0.5,0.022000000000000002,-3.9
Anthony Frederick,475,0.0,-0.001,-2.6
Anthony Mason,21,0.1,0.22,-2.4
Antoine Carr,2527,5.4,0.10300000000000001,0.8
B.J. Armstrong,1731,4.1,0.114,-0.5
Bart Kofoed,21,-0.1,-0.11599999999999999,-9.4
Bernard King*,2401,3.5,0.07,1.1
Bill Cartwright,2273,4.2,0.08900000000000001,-2.6
Bill Laimbeer,2668,8.0,0.14400000000000002,1.5
Bill Wennington,1455,2.1,0.07,-2.8
Billy Thompson,1481,1.7,0.054000000000000006,-1.9
Bimbo Coles,1355,1.1,0.038,-2.3
Blair Rasmussen,2325,1.7,0.036000000000000004,-4.3
Blue Edwards,1611,2.2,0.065,-2.2
Bo Kimble,1004,0.0,0.0,-5.9
Bob Hansen,811,-0.1,-0.004,-3.4
Bob Thornton,110,-0.2,-0.079,-11.3
Brad Daugherty,2946,9.0,0.147,2.2
Brad Davis,1426,1.6,0.054000000000000006,-2.9
Brad Lohaus,1219,1.8,0.071,-0.8
Brian Oliver,800,0.2,0.01,-4.4
Brian Quinnett,1011,0.8,0.039,-3.4
Brian Shaw,2772,5.9,0.102,1.1
Buck Johnson,2279,4.6,0.09699999999999999,-0.8
Buck Williams,2582,8.5,0.158,0.5
Byron Irvin,316,0.9,0.14300000000000002,0.8
Byron Scott,2630,6.6,0.12,0.9
Cedric Ball,26,0.0,0.054000000000000006,-6.8
Cedric Ceballos,730,1.3,0.085,-2.1
Charles Barkley*,2498,13.4,0.258,9.3
Charles Jones,1499,2.9,0.092,-0.5
Charles Oakley,2739,6.2,0.109,-1.0
Charles Smith,2733,7.4,0.14,-7.700000000000001
Chris Dudley,1560,2.2,0.068,-2.5
Chris Morris,2553,4.5,0.085,1.0
Chris Mullin*,3315,12.2,0.17600000000000002,4.7
Chris Munk,29,0.0,0.048,-2.9
Chuck Person,2566,3.9,0.073,-0.7
Chucky Brown,1485,1.6,0.052000000000000005,-3.4
Cliff Levingston,1013,2.0,0.095,-2.9
Clifford Lett,99,0.0,0.013999999999999999,-5.2
Clifford Robinson,1940,4.2,0.10400000000000001,-0.4
Clinton Smith,45,0.1,0.061,-4.1
Clyde Drexler*,2852,12.4,0.209,6.8
Corey Gaines,226,0.3,0.061,-1.2
Craig Ehlo,2766,3.4,0.057999999999999996,-0.4
