Player,MP,WS,WS/48,BPM
Adrian Dantley*,887,4.3,0.232,4.8
Al Wood,1822,2.3,0.061,-1.7
Albert King,2447,5.7,0.112,0.5
Alex English*,2988,10.3,0.166,4.6
Allan Bristow,371,0.2,0.03,-2.0
Allen Leavell,2602,3.8,0.071,0.8
Alton Lister,1885,3.8,0.096,-0.5
Alvan Adams,2447,6.5,0.128,2.5
Alvin Scott,1139,2.9,0.121,0.6
Andrew Toney,2474,7.3,0.141,0.7
Armond Hill,169,0.5,0.137,-0.8
Artis Gilmore*,2797,11.0,0.189,2.8
Audie Norris,311,-0.1,-0.022,-5.2
Ben Poquette,2331,5.0,0.103,-0.2
Bernard King*,2207,7.5,0.163,3.5
Bill Cartwright,2468,10.1,0.197,2.8
Bill Garnett,1411,3.9,0.133,0.7
Bill Hanzlik,1547,1.0,0.03,-2.5
Bill Laimbeer,2871,8.5,0.142,1.3
Bill Walton*,1099,2.0,0.086,2.9
Bill Willoughby,1146,1.2,0.073,-7.3
Billy Knight,2262,5.8,0.123,0.6
Billy McKinney,1559,2.3,0.072,-2.3
Billy Paultz,820,0.3,0.066,-5.7
Billy Ray Bates,304,-0.1,-0.264,-9.3
Bob Gross,373,0.2,0.032,-2.2
Bob Lanier*,978,2.3,0.112,0.5
Bob McAdoo*,1019,3.5,0.167,-0.2
Bob Wilkerson,1702,-0.3,-0.01,-3.2
Bobby Jones*,1749,6.4,0.175,4.0
Brad Branson,680,1.0,0.071,-1.6
Brad Davis,2323,7.3,0.152,2.0
Brian Winters,1361,2.1,0.074,-2.0
Brook Steppe,606,1.1,0.084,-1.6
Bruce Flowers,699,1.7,0.119,0.2
Bryan Warrick,727,0.1,0.008,-4.3
Buck Williams,2961,11.4,0.185,2.0
Butch Carter,1716,3.0,0.085,-1.0
Caldwell Jones,2440,2.5,0.05,-2.2
Calvin Garrett,34,0.0,-0.051,-4.6
Calvin Murphy*,1423,1.6,0.055,-1.7
Calvin Natt,2879,9.8,0.164,1.8
Carl Nicks,148,0.1,0.032,-2.7
Carlos Terry,514,0.8,0.072,-0.6
Cedric Maxwell,2252,6.6,0.14,1.0
Charles Bradley,532,0.2,0.02,-2.6
Charles Davis,1161,1.5,0.061,-1.4
