Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar*,C,40,LAL,80,2308,15.8,0.57,0.001,0.298,6.1,16.9,11.7,8.4,1,2.2,13.5,21.4,,2.6,2.7,5.3,0.111,,-0.1,0.1,0,1.2
2,Mark Acres,C,25,BOS,79,1151,9.3,0.57,0,0.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,,1.1,1,2.2,0.09,,-2.6,-0.2,-2.8,-0.2
3,Alvan Adams,C,33,PHO,82,1646,13.1,0.543,0.004,0.253,8,17,12.5,14.9,2.4,1.4,19.9,17.4,,0.6,1.6,2.2,0.064,,-1.5,1,-0.5,0.6
4,Michael Adams,PG,25,DEN,82,2778,15.6,0.56,0.409,0.215,1.5,7.2,4.2,22.5,2.8,0.3,12.4,16.2,,4.4,3.2,7.5,0.13,,1.5,0.9,2.5,3.1
5,Mark Aguirre,SF,28,DAL,77,2610,21.9,0.539,0.109,0.321,7.7,10.3,9,18.4,1.3,1.3,10.2,31.6,,6.5,2.3,8.8,0.163,,4.6,-0.8,3.8,3.9
6,Danny Ainge,SG,28,BOS,81,3018,15.9,0.598,0.364,0.183,2.5,7,4.9,22.2,1.9,0.3,12.6,17.3,,6.7,1.9,8.6,0.136,,2.7,-0.3,2.4,3.3
7,Mark Alarie,PF,24,WSB,63,769,11.6,0.508,0.06,0.163,10.1,13.2,11.6,7.7,0.6,0.9,13.5,19.9,,0.3,0.6,0.9,0.058,,-1.9,-1.3,-3.2,-0.2
8,Steve Alford,PG,23,DAL,28,197,11.6,0.472,0.145,0.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,,0,0.3,0.3,0.082,,-4.1,3.1,-1.1,0
9,Greg Anderson,PF,23,SAS,82,1984,14.7,0.531,0.007,0.434,8.7,19.4,14,5.3,1.3,3.4,13.7,20.8,,0.8,1.5,2.3,0.056,,-1.6,-1.1,-2.7,-0.4
10,Richard Anderson,PF,27,TOT,74,1350,11.1,0.474,0.342,0.175,7.3,17,12.1,10.4,1.8,0.7,11.4,15.6,,0.7,1.6,2.3,0.082,,-0.7,0.1,-0.6,0.5
10,Richard Anderson,PF,27,HOU,12,53,22.9,0.567,0.577,0.192,17.8,15.7,16.8,11.2,0.9,0,3.4,22.1,,0.2,0.1,0.3,0.253,,10,-1.3,8.8,0.1
10,Richard Anderson,PF,27,POR,62,1297,10.7,0.468,0.327,0.174,6.8,17,11.9,10.4,1.8,0.7,11.9,15.4,,0.4,1.6,2,0.075,,-1.1,0.2,-1,0.3
11,Ron Anderson,SF,29,IND,74,1097,16.2,0.544,0.005,0.323,8.9,12.6,10.8,10.5,1.8,0.3,12.8,22,,1.3,1.2,2.5,0.108,,0.9,-0.3,0.6,0.7
12,Joe Arlauckas,SF,22,SAC,9,85,7.9,0.365,0,0.186,7.6,9,8.3,13.3,1.7,2.6,7.9,24,,-0.1,0.1,-0.1,-0.045,,-5.1,-1.7,-6.8,-0.1
13,Vincent Askew,SG,21,PHI,14,234,7.1,0.33,0,0.149,3,8,5.5,19.8,2.1,1.5,13.2,16.4,,-0.4,0.2,-0.2,-0.043,,-3.3,0.5,-2.8,0
14,John Bagley,PG,27,NJN,82,2774,12.4,0.503,0.18,0.201,2.5,8.5,5.4,25.8,1.9,0.2,17.1,17.9,,0.8,1.7,2.6,0.044,,-0.7,-0.7,-1.4,0.4
15,James Bailey,PF,30,PHO,65,869,8.3,0.514,0.017,0.369,9.4,17.9,13.6,6.2,0.9,1.9,20,16.4,,-0.2,0.6,0.4,0.023,,-5.1,-0.7,-5.7,-0.8
16,Thurl Bailey,SF,26,UTA,82,2804,16.3,0.547,0.002,0.317,5.4,14.6,10.2,8.6,0.8,2.6,11.5,24.2,,2.7,4.1,6.8,0.116,,0.3,-0.1,0.2,1.6
17,Charles Barkley*,PF,24,PHI,80,3170,27.6,0.665,0.122,0.741,14,20.8,17.4,14.1,1.6,1.9,15.2,26.7,,13.4,3.3,16.7,0.253,,7.3,0.1,7.4,7.5
18,John Battle,SG,25,ATL,67,1227,16.3,0.512,0.067,0.307,2.3,7.9,5.1,20,1.3,0.2,9.7,26.4,,1.5,0.8,2.3,0.092,,1.4,-1,0.4,0.7
19,William Bedford,C,24,DET,38,298,9,0.454,0,0.228,10.4,13.9,12.2,1.8,1.3,3.3,14.6,18.2,,-0.2,0.5,0.2,0.039,,-4.4,0.6,-3.8,-0.1
20,Benoit Benjamin,C,23,LAC,66,2171,14.1,0.534,0.012,0.368,5.3,21.2,13,12.2,1.1,5.9,21.7,19.3,,-1.4,3.5,2,0.045,,-2.8,2.8,-0.1,1
21,Kent Benson,C,33,CLE,2,12,11.8,0.868,0,1,0,9.6,4.9,0,4.1,4.9,41,17.4,,0,0,0,0.015,,-6.3,2.4,-3.9,0
22,Walter Berry,SF,23,SAS,73,1922,18.8,0.578,0,0.333,9.8,12.4,11.1,8.7,1.3,1.8,12.8,25.9,,2.7,0.7,3.4,0.086,,1.6,-2,-0.4,0.8
23,Larry Bird*,SF,31,BOS,76,2965,27.8,0.608,0.142,0.271,4.6,22.3,14,25.7,2.1,1.1,10.2,30.2,,11.2,3.8,15,0.243,,7.8,1,8.8,8.1
24,Otis Birdsong,SG,32,NJN,67,1882,10.4,0.47,0.034,0.125,4.3,6,5.1,18.7,1.4,0.4,14.2,20.3,,-0.9,0.8,-0.1,-0.003,,-2,-1.4,-3.4,-0.7
25,Uwe Blab,C,25,DAL,73,658,7.4,0.504,0,0.492,8.7,13.3,11.1,6.9,0.6,2.5,23.4,13.2,,-0.1,0.6,0.5,0.036,,-4.7,0.3,-4.5,-0.4
26,Rolando Blackman,SG,28,DAL,71,2580,16,0.544,0.005,0.361,3.5,6.8,5.2,15.1,1.2,0.4,10.6,21.8,,5.1,1.6,6.8,0.126,,1,-0.8,0.2,1.4
27,Nate Blackwell,PG,22,SAS,10,112,6.1,0.424,0.268,0.146,1.9,3.9,2.9,20,1.2,0,15.5,18.2,,-0.1,0,-0.1,-0.045,,-4.6,-2.6,-7.2,-0.1
28,Muggsy Bogues,PG,23,WSB,79,1628,12.7,0.429,0.038,0.174,2.4,7,4.7,33.5,3.8,0.1,18,14.2,,0.2,2.1,2.3,0.066,,-1,1.9,0.9,1.2
29,Manute Bol,C,25,WSB,77,1136,10.8,0.472,0.006,0.297,7,20.2,13.5,1.5,0.5,10.6,15.8,8,,-0.1,2.1,2,0.085,,-3.4,4.5,1.1,0.9
30,Dudley Bradley,SG,30,TOT,65,1437,11.4,0.519,0.279,0.266,1.9,8.5,5.1,15,3.9,1.8,17.8,14.6,,0.1,1.8,1.9,0.064,,-2.2,3.1,0.8,1
30,Dudley Bradley,SG,30,MIL,2,5,-4,0,1,0,0,22.6,11.3,23.5,0,0,0,8.4,,0,0,0,-0.07,,-14.9,1.4,-13.6,0
30,Dudley Bradley,SG,30,NJN,63,1432,11.4,0.52,0.277,0.266,2,8.5,5.1,14.9,3.9,1.8,17.8,14.6,,0.1,1.8,1.9,0.065,,-2.2,3.1,0.9,1
31,Adrian Branch,SF,24,NJN,20,308,10.4,0.461,0.037,0.172,7.3,10.9,9,8.3,2.5,2.2,16.8,23.7,,-0.5,0.3,-0.1,-0.021,,-3.8,-0.4,-4.3,-0.2
32,Randy Breuer,C,27,MIL,81,2258,15.3,0.53,0,0.363,9.5,18,13.7,6.7,1,2.8,10.5,19,,2.4,2.8,5.1,0.109,,-0.1,0,-0.1,1.1
33,Frank Brickowski,C,28,SAS,70,2227,16,0.584,0.006,0.434,8,15.5,11.7,16,1.5,0.9,17.8,20.7,,3,1.1,4.1,0.088,,0.3,-0.9,-0.6,0.8
34,Michael Brooks,SF,29,DEN,16,133,9.6,0.424,0,0.082,14.5,20.5,17.4,12.2,1.4,0.4,19.1,18.4,,-0.1,0.2,0,0.016,,-4.2,-1.6,-5.7,-0.1
35,Mike Brown,C,24,CHI,46,591,10,0.48,0.006,0.408,12.9,17.9,15.4,6.5,0.9,0.4,15.6,17.7,,0,0.7,0.7,0.058,,-3.9,-1.6,-5.5,-0.5
36,Steve Burtt,SG,25,LAC,19,312,10.2,0.508,0.029,0.5,2,7.4,4.6,20.1,1.5,0.9,19.2,27.2,,-0.4,0.2,-0.1,-0.019,,-4.5,-0.8,-5.3,-0.3
37,Michael Cage,PF,26,LAC,72,2660,16.4,0.537,0.001,0.619,14.3,23.5,18.8,6.2,1.6,1.2,14.1,17.3,,2.9,3.8,6.7,0.121,,0,-0.6,-0.6,0.9
38,Tony Campbell,SF,25,LAL,13,242,14.2,0.605,0.03,0.386,3.9,8.5,6.3,9.3,2.2,0.5,18,24.9,,0.2,0.2,0.4,0.079,,-2.9,-0.6,-3.5,-0.1
