,Player,height,birth_state
1,Cliff Barker,188.0,Indiana
4,Ralph Beard,178.0,Kentucky
6,Charlie Black,196.0,Idaho
7,Nelson Bobb,183.0,Pennsylvania
8,Jake Bornheimer,196.0,New Jersey
9,Vince Boryla,196.0,Indiana
10,Don Boven,193.0,Michigan
11,Harry Boykoff,208.0,New York
12,Joe Bradley,190.0,Oklahoma
14,Carl Braun,196.0,New York
15,Frankie Brian,185.0,Louisiana
16,Price Brookfield,193.0,Texas
17,Bob Brown,193.0,Ohio
18,Jim Browne,208.0,Illinois
19,Walt Budko,196.0,New Jersey
21,Tommy Byrnes,190.0,New Jersey
22,Bill Calhoun,190.0,California
23,Don Carlson,183.0,Minnesota
26,Al Cervi*,180.0,New York
28,Leroy Chollet,188.0,Louisiana
29,Bill Closs,196.0,Texas
31,Jack Coleman,201.0,Kentucky
34,Jack Cotton,201.0,Montana
35,Dillard Crocker,193.0,Tennessee
36,Chink Crossin,185.0,Pennsylvania
37,Fran Curran,183.0,Illinois
39,Bob Davies*,185.0,Pennsylvania
40,Hook Dillon,190.0,Georgia
43,Bob Doll,196.0,Colorado
44,Harry Donovan,188.0,New Jersey
46,Dike Eddleman,190.0,Illinois
47,Gene Englund,196.0,Wisconsin
48,Bob Evans,188.0,Indiana
49,Johnny Ezersky,190.0,New York
50,Bob Feerick,190.0,California
52,Arnie Ferrin,188.0,Utah
53,Jerry Fleishman,188.0,New York
54,Joe Fulks*,196.0,Kentucky
56,Elmer Gainer,198.0,Illinois
57,Harry Gallatin*,198.0,Illinois
58,Vern Gardner,196.0,Wyoming
66,Bud Grant,190.0,Wisconsin
67,Don Grate,188.0,Ohio
68,Alex Groza,201.0,Ohio
71,Chick Halbert,206.0,Texas
72,Bruce Hale,185.0,Oregon
74,Alex Hannum*,201.0,California
75,John Hargis,188.0,Texas
76,Bob Harris,201.0,Tennessee
77,Bob Harrison,201.0,Tennessee
79,Marshall Hawkins,190.0,West Virginia
80,Bill Henry,206.0,Texas
82,Kleggie Hermsen,206.0,Minnesota
83,Sonny Hertzberg,178.0,New York
86,Red Holzman*,178.0,New York
87,Gene James,193.0,Ohio
89,Tony Jaros,190.0,Minnesota
90,Buddy Jeannette*,180.0,Pennsylvania
91,Arnie Johnson,196.0,Minnesota
95,George Kaftan,190.0,New York
98,Bob Kinney,198.0,Kansas
99,Walt Kirk,190.0,Illinois
100,Leo Klier,188.0,Indiana
101,Duane Klueh,190.0,North Dakota
102,Lee Knorek,201.0,Poland
107,Tony Lavelli,190.0,Massachusetts
109,Andrew Levane,188.0,New York
110,Freddie Lewis,188.0,New York
112,John Logan,188.0,Indiana
113,Ray Lumpp,185.0,New York
114,Ed Macauley*,203.0,Missouri
116,John Mahnken,203.0,New Jersey
117,John Mandic,193.0,California
118,Slater Martin*,178.0,Texas
119,Ariel Maughan,193.0,Utah
120,Matt Mazza,190.0,New York
122,Dick McGuire*,183.0,New York
123,Bones McKinney,198.0,North Carolina
129,George Mikan*,208.0,Illinois
130,Vern Mikkelsen*,201.0,California
135,Joe Mullaney,183.0,New York
136,Jerry Nagel,183.0,Illinois
138,Richie Niemiera,185.0,Illinois
139,Paul Noel,193.0,Kentucky
140,Jim Nolan,203.0,Georgia
141,Johnny Norlander,190.0,Minnesota
142,George Nostrand,203.0,New York
143,Mike Novak,206.0,Illinois
146,Dick O'Keefe,188.0,California
147,John Oldham,190.0,Kentucky
148,Gene Ollrich,180.0,Indiana
149,Johnny Orr,190.0,Kansas
150,Don Otten,208.0,Ohio
151,Mac Otten,201.0,Ohio
153,Easy Parham,190.0,Texas
154,Jack Parkinson,183.0,Indiana
158,Warren Perkins,190.0,Louisiana
160,Jack Phelan,196.0,Illinois
161,Andy Phillip*,188.0,Illinois
162,Jim Pollard*,193.0,California
166,George Ratkovicz,198.0,Illinois
167,Don Ray,196.0,Tennessee
169,Arnie Risen*,206.0,Kentucky
170,Tex Ritter,188.0,Kentucky
171,Bill Roberts,206.0,Indiana
172,Red Rocha,206.0,Hawaii
173,Kenny Rollins,183.0,Missouri
175,Jerry Rullo,178.0,Pennsylvania
176,Ed Sadowski,196.0,Pennsylvania
177,Kenny Sailors,178.0,Nebraska
179,Herm Schaefer,183.0,Indiana
181,Fred Schaus,196.0,Ohio
182,Dolph Schayes*,203.0,New York
184,Howie Schultz,198.0,Minnesota
185,Dick Schulz,188.0,Wisconsin
186,Fred Scolari,178.0,California
187,Wayne See,190.0,Arizona
189,Rollie Seltz,178.0,Minnesota
190,Jim Seminoff,188.0,California
191,George Senesky,188.0,Pennsylvania
192,Paul Seymour,185.0,Ohio
193,Carl Shaeffer,190.0,Indiana
194,Howie Shannon,188.0,Kansas
196,Connie Simmons,203.0,New Jersey
197,Belus Smawley,185.0,North Carolina
198,Jack Smiley,190.0,Illinois
201,Art Spector,193.0,Pennsylvania
205,Jack Toomay,198.0,California
206,Bob Tough,183.0,New York
207,Blackie Towery,193.0,Kentucky
208,Dick Triptow,183.0,Illinois
211,Ernie Vandeweghe,190.0,Canada
212,Floyd Volker,193.0,Wyoming
214,Clint Wager,198.0,Minnesota
216,Brady Walker,198.0,Utah
217,Paul Walther,188.0,Kentucky
218,Bobby Wanzer*,183.0,New York
219,Murray Wier,175.0,Iowa
222,Max Zaslofsky,188.0,New York
224,Paul Arizin*,193.0,Pennsylvania
227,Ike Borsavage,203.0,Pennsylvania
229,Gerry Calabrese,185.0,New Jersey
231,Nat Clifton*,198.0,Arkansas
233,Bob Cousy*,185.0,New York
236,Ray Ellefson,203.0,South Dakota
237,Larry Foust,206.0,Ohio
242,Don Lofgran,196.0,California
247,Tommy O'Keefe,188.0,New Jersey
248,Kevin O'Shea,188.0,California
249,Don Rehfeldt,201.0,Illinois
251,Alan Sawyer,196.0,California
253,Dick Schnittker,196.0,Ohio
254,Bill Sharman*,185.0,Texas
255,Don Barksdale*,198.0,California
256,Elmer Behnke,201.0,Illinois
260,Dick Dickey,185.0,Indiana
263,Lew Hitch,203.0,Illinois
264,Mel Hutchins,198.0,California
265,Neil Johnston*,203.0,Ohio
267,George King,183.0,West Virginia
268,John McConathy,196.0,Louisiana
269,Alfred McGuire*,188.0,New York
271,Ralph O'Brien,175.0,Kentucky
274,John Pilch,190.0,Wyoming
276,Sam Ranzino,185.0,Indiana
281,Whitey Skoog,180.0,Minnesota
285,Jim Baechtold,193.0,Pennsylvania
286,Jim Brasco,185.0,New York
287,Dick Bunt,183.0,New York
288,Gene Conley,203.0,Oklahoma
292,Dick Groat,180.0,Pennsylvania
299,Jack McCloskey,188.0,Pennsylvania
303,Monk Meineke,201.0,Ohio
305,Bill Mlkvy,193.0,Pennsylvania
317,Mark Workman,206.0,West Virginia
318,Zeke Zawoluk,201.0,New York
319,Don Ackerman,183.0,New York
320,Don Asmonga,188.0,Pennsylvania
321,Ernie Barrett,190.0,Kansas
322,Ernie Beck,193.0,Pennsylvania
325,Walt Davis,203.0,Texas
328,Ray Felix,211.0,New York
330,Jack George,188.0,Pennsylvania
332,Norm Grekin,196.0,Pennsylvania
334,Bob Houbregs*,201.0,Canada
335,Billy Kenville,188.0,New York
336,Dick Knostman,198.0,Kansas
337,Clyde Lovellette*,206.0,Indiana
339,Jack Molinas,198.0,New York
342,Bob Peterson,196.0,California
343,James Phelan,196.0,Illinois
347,Ed Smith,198.0,Ohio
349,Don Sunderlage,185.0,Illinois
350,Norm Swanson,198.0,Illinois
352,Isaac Walthour,180.0,New York
353,George Yardley*,196.0,California
359,Larry Costello,185.0,New York
360,George Dempsey,188.0,Pennsylvania
363,Chuck Grigsby,196.0,Ohio
364,Herm Hedderick,196.0,Pennsylvania
366,Mike Kearns,188.0,New Jersey
367,Red Kerr,206.0,Illinois
375,Jackie Moore,196.0,Pennsylvania
378,Togo Palazzi,193.0,New Jersey
379,Bob Pettit*,206.0,Louisiana
380,Frank Ramsey*,190.0,Kentucky
382,Frank Selvy,190.0,Kentucky
383,Gene Shue,188.0,Maryland
385,Jim Tucker,201.0,Kentucky
386,Jack Turner,193.0,Indiana
387,Bobby Watson,183.0,Kentucky
389,Jesse Arnelle,196.0,New York
390,Dick Atha,188.0,Indiana
395,Walter Dukes,213.0,New York
397,Al Ferrari,193.0,New York
399,Dick Garmaker,190.0,Minnesota
400,Tom Gola*,198.0,Pennsylvania
401,Chris Harris,190.0,United Kingdom
402,Dick Hemric,198.0,North Carolina
405,Jim Loscutoff,196.0,California
406,Chuck Mencel,183.0,Wisconsin
408,Med Park,188.0,South Dakota
409,Richie Regan,188.0,New Jersey
410,Dick Ricketts,201.0,Pennsylvania
411,Bob Santini,196.0,New York
413,Kenny Sears,206.0,California
415,Maurice Stokes*,201.0,Pennsylvania
416,Jack Twyman*,198.0,Pennsylvania
419,Bob Armstrong,203.0,Michigan
421,Gary Bergen,203.0,Missouri
422,Al Bianchi,190.0,New York
423,Bob Burrow,201.0,Arkansas
424,Si Green,188.0,New York
425,Richie Guerin*,193.0,New York
426,Cliff Hagan*,193.0,Kentucky
427,Tom Heinsohn*,201.0,New Jersey
429,Bob Hopkins,203.0,Louisiana
430,Phil Jordon,208.0,California
431,Hal Lear,183.0,Pennsylvania
432,Slick Leonard*,190.0,Indiana
434,Willie Naulls,198.0,Texas
435,Jim Paxson,198.0,Indiana
438,Bill Russell*,208.0,Louisiana
439,Ron Shavlik,203.0,Colorado
440,Ron Sobie,190.0,Illinois
441,Norm Stewart,196.0,Missouri
443,Lou Tsioropoulos,196.0,Massachusetts
449,Bo Erias,190.0,New York
450,Larry Friend,193.0,Illinois
453,Sam Jones*,193.0,North Carolina
454,Jim Krebs,203.0,Missouri
455,Brendan McCann,188.0,New York
456,Worthy Patterson,188.0,Connecticut
459,Lennie Rosenbluth,193.0,New York
460,Woody Sauldsberry,201.0,Louisiana
461,Guy Sparrow,198.0,Michigan
462,Charlie Tyra,203.0,Kentucky
463,Jim Walsh,193.0,California
465,Elgin Baylor*,196.0,District of Columbia
466,Jerry Bird,198.0,Kentucky
467,Bucky Bockhorn,193.0,Illinois
468,Pete Brennan,198.0,New York
470,Archie Dees,203.0,Mississippi
471,Connie Dierking,206.0,New York
473,Wayne Embry*,203.0,Ohio
474,Mike Farmer,201.0,Oklahoma
475,Dave Gambee,198.0,Oregon
476,Hal Greer*,188.0,West Virginia
477,Steve Hamilton,198.0,Kentucky
478,Vern Hatton,190.0,Kentucky
479,Andy Johnson,196.0,California
481,Tommy Kearns,180.0,New York
483,Jim Palmer,203.0,Virginia
484,Jack Parr,206.0,Kentucky
485,Hub Reed,206.0,Oklahoma
486,Guy Rodgers*,183.0,Pennsylvania
487,Phil Rollins,188.0,Kentucky
491,Bob Anderegg,190.0,Wisconsin
492,Dick Barnett,193.0,Indiana
493,Whitey Bell,183.0,Kentucky
494,Wilt Chamberlain*,216.0,Pennsylvania
495,Bob Ferry,203.0,Missouri
496,Johnny Green,196.0,Ohio
497,Gene Guarilia,196.0,Pennsylvania
498,Tom Hawkins,196.0,Illinois
499,Bailey Howell*,201.0,Tennessee
501,Rudy LaRusso,201.0,New York
503,Cal Ramsey,193.0,Alabama
505,Joe Ruklick,206.0,Illinois
509,Al Attles,183.0,New Jersey
510,Bob Boozer,203.0,Nebraska
511,Dave Budd,198.0,New Jersey
512,Ralph Davis,193.0,Kentucky
514,Darrall Imhoff,208.0,California
518,Pickles Kennedy,180.0,Pennsylvania
521,Bob McNeill,185.0,Pennsylvania
522,Jackie Moreland,201.0,Louisiana
523,Don Ohl,190.0,Illinois
525,Oscar Robertson*,196.0,Tennessee
526,Tom Sanders*,198.0,New York
527,Jerry West*,188.0,West Virginia
528,Lenny Wilkens*,185.0,New York
530,Walt Bellamy*,211.0,North Carolina
531,George Blaney,185.0,New Jersey
534,Cleveland Buckner,206.0,Mississippi
536,Donnie Butcher,188.0,Kentucky
537,Al Butler,188.0,New York
538,Howie Carl,175.0,Illinois
539,Jimmy Darrow,178.0,Ohio
540,Johnny Egan,180.0,Connecticut
542,Cleo Hill,185.0,New Jersey
543,Ron Horn,201.0,Indiana
545,York Larese,193.0,New York
548,Tom Meschery,198.0,China
550,Bevo Nordmann,208.0,Missouri
552,Gary Phillips,190.0,Illinois
554,Ray Scott,206.0,Pennsylvania
555,Lee Shaffer,201.0,Illinois
557,Adrian Smith,185.0,Kentucky
559,Sam Stith,188.0,Virginia
560,Horace Walker,190.0,Pennsylvania
564,John Barnhill,185.0,Kentucky
565,Zelmo Beaty*,206.0,Texas
566,Bill Bridges,198.0,New Mexico
567,Len Chappell,203.0,Pennsylvania
568,Johnny Cox,193.0,Kentucky
569,Dave DeBusschere*,198.0,Michigan
570,Terry Dischinger,201.0,Indiana
571,Danny Doyle,203.0,New York
573,Leroy Ellis,208.0,New York
575,Jack Foley,190.0,Massachusetts
577,Charlie Hardnett,203.0,Georgia
578,John Havlicek*,196.0,Ohio
579,Wayne Hightower,203.0,Pennsylvania
581,Kevin Loughery,190.0,New York
582,Bill McGill,206.0,Texas
585,Don Nelson*,198.0,Michigan
588,John Rudometkin,198.0,California
590,Tom Stith,196.0,Virginia
591,Dan Swartz,193.0,Kentucky
592,Dan Tieman,183.0,Kentucky
594,Chico Vaughn,188.0,Oregon
595,Chet Walker*,198.0,Mississippi
596,Ben Warley,196.0,District of Columbia
600,Jay Arnette,188.0,Texas
602,Mel Gibson,190.0,North Carolina
605,Jerry Harkness,188.0,New York
606,Art Heyman,196.0,New York
608,Tom Hoover,206.0,District of Columbia
609,Gus Johnson*,198.0,Ohio
610,Jim King,188.0,Oklahoma
611,Don Kojis,196.0,Wisconsin
612,Jerry Lucas*,203.0,Ohio
613,Eddie Miles,193.0,Arkansas
614,Mel Peterson,193.0,Minnesota
616,Larry Siegfried,190.0,Ohio
617,Roger Strickland,196.0,Florida
618,Tom Thacker,188.0,Kentucky
619,Rod Thorn,193.0,West Virginia
620,Nate Thurmond*,211.0,Ohio
623,Jim Barnes,203.0,Arkansas
624,Ron Bonham,196.0,Indiana
625,Gary Bradds,203.0,Ohio
626,Em Bryant,185.0,Illinois
627,Joe Caldwell,196.0,Texas
628,Mel Counts,213.0,Oregon
631,Happy Hairston,201.0,North Carolina
633,Les Hunter,201.0,Tennessee
634,Luke Jackson,206.0,Texas
635,Larry Jones,188.0,Ohio
636,Wali Jones,193.0,Kentucky
637,Howard Komives,185.0,Ohio
638,Bud Koper,198.0,Oklahoma
639,Barry Kramer,193.0,New York
640,McCoy McLemore,201.0,Texas
641,Jeff Mullins,193.0,New York
642,Cotton Nash,196.0,New Jersey
643,Willis Reed*,206.0,Louisiana
644,Paul Silas,201.0,Arkansas
645,John Thompson*,208.0,District of Columbia
647,George Wilson,203.0,Mississippi
648,Rick Barry*,201.0,New Jersey
649,Jesse Branson,201.0,North Carolina
650,Bill Buntin,201.0,Michigan
651,Barry Clemens,198.0,Ohio
652,Billy Cunningham*,198.0,New York
653,Keith Erickson,196.0,California
654,John Fairchild,203.0,California
655,Will Frazier,201.0,Louisiana
656,Gail Goodrich*,185.0,California
657,Fred Hetzel,203.0,District of Columbia
658,Jon McGlocklin,196.0,Indiana
659,Thales McReynolds,190.0,Alabama
660,Ron Reed,196.0,Indiana
661,Jerry Sloan*,196.0,Illinois
662,Willie Somerset,173.0,Pennsylvania
663,Dave Stallworth,201.0,Texas
664,Joe Strawder,208.0,Florida
667,Bob Warlick,196.0,North Carolina
668,Jim Washington,198.0,Pennsylvania
670,Bob Weiss,188.0,Pennsylvania
