Player,Salary in $,height,birth_state
Aaron Brooks,3396250,183.0,Washington
Aaron Gordon,5504420,206.0,California
Aaron Gray,2690875,213.0,California
Aaron Harrison,525093,198.0,Texas
Aaron McKie,6000000,196.0,Pennsylvania
Aaron Miles,155614,185.0,Oregon
Aaron Swinson,102424,196.0,Georgia
Aaron Williams,3790257,206.0,Illinois
Acie Earl,1430000,208.0,Illinois
Acie Law,2216160,190.0,Texas
Adam Harrington,140636,196.0,Massachusetts
Adam Keefe,3390000,206.0,California
Adam Morrison,5257229,203.0,Montana
Adonal Foyle,8937500,208.0,Saint Vincent and the Grenadines
Adonis Jordan,350000,180.0,New York
Adonis Thomas,60000,201.0,Tennessee
Adreian Payne,2022240,208.0,Ohio
Adrian Caldwell,275000,203.0,Texas
Adrian Griffin,1711000,196.0,Kansas
Al Harrington,10026875,206.0,New Jersey
Al Horford,27734405,208.0,Dominican Republic
Al Jefferson,15000000,208.0,Mississippi
Al Thornton,2814196,203.0,Georgia
Al-Farouq Aminu,7680965,206.0,Georgia
Alaa Abdelnaby,805000,208.0,Egypt
Alan Anderson,4000000,198.0,Minnesota
Alan Henderson,8273125,206.0,Indiana
Alan Ogg,202000,218.0,Ohio
Alando Tucker,1071720,203.0,Ohio
Alec Burks,10845506,198.0,Missouri
Alec Kessler,1600000,211.0,Minnesota
Aleksandar Radojevic,1524600,221.0,Montenegro
Alex Abrines,5994764,198.0,Spain
Alex Acker,839209,196.0,California
Alex Blackwell,140000,198.0,New Jersey
Alex Garcia,620046,190.0,Brazil
Alex Kirk,65000,213.0,New Mexico
Alex Len,4823621,216.0,Ukraine
Alex Poythress,38903,201.0,Georgia
Alex Stepheson,61776,208.0,California
Alex Stivrins,140000,203.0,Nebraska
Alexander Johnson,687456,206.0,Georgia
Alexander Volkov,675000,208.0,Russia
Alexey Shved,3282056,198.0,Russia
Alexis Ajinca,4961798,218.0,France
Allan Houston,19125000,198.0,Kentucky
Allen Crabbe,19332500,198.0,California
Alonzo Gee,3500000,198.0,Florida
Alton Ford,586082,185.0,Mississippi
Alton Lister,1700000,213.0,Texas
Alvin Jones,332817,211.0,Luxembourg
Alvin Robertson,1408000,190.0,Ohio
Amal McCaskill,932546,211.0,Illinois
Amir Johnson,12000000,206.0,California
Anderson Varejao,9704595,208.0,Brazil
Andrae Patterson,498500,206.0,California
Andray Blatche,8471339,211.0,New York
Andre Barrett,744551,178.0,New York
Andre Brown,711517,206.0,Illinois
Andre Dawkins,59686,196.0,Virginia
Andre Drummond,23775506,211.0,New York
Andre Emmett,641748,196.0,Texas
Andre Iguodala,14968250,198.0,Illinois
Andre Miller,10333334,206.0,Michigan
Andre Owens,687456,193.0,Indiana
Andre Roberson,9259259,196.0,Tennessee
Andre Spencer,250000,198.0,California
Andre Turner,140000,180.0,Tennessee
Andrea Bargnani,11862500,213.0,Italy
Andreas Glyniadakis,161061,216.0,Greece
Andrei Kirilenko,17823000,206.0,Russia
Andres Nocioni,8500000,201.0,Argentina
Andrew Bogut,14000000,213.0,Australia
Andrew Bynum,16889000,213.0,New Jersey
Andrew DeClercq,3262500,208.0,Michigan
Andrew Gaze,460000,201.0,Australia
Andrew Goudelock,473604,190.0,Georgia
Andrew Harrison,1312611,198.0,Texas
Andrew Lang,3068000,211.0,Arkansas
Andrew Nicholson,6088993,206.0,Canada
Andrew Toney,450000,190.0,Alabama
Andrew Wiggins,7574322,203.0,Canada
Andris Biedrins,9000000,211.0,Latvia
Andy Panko,5000,206.0,Pennsylvania
Andy Rautins,788872,193.0,New York
Andy Toolson,310000,198.0,Illinois
Anfernee Hardaway,15750000,201.0,Tennessee
Ansu Sesay,745046,206.0,North Carolina
Antawn Jamison,16360094,203.0,Louisiana
Anthony Avent,950000,206.0,North Carolina
Anthony Bennett,5563920,203.0,Canada
Anthony Bonner,845000,203.0,Missouri
Anthony Bowie,900000,198.0,Oklahoma
Anthony Brown,874636,206.0,Illinois
Anthony Carter,3656250,185.0,Wisconsin
Anthony Cook,650000,206.0,California
Anthony Davis,23775506,206.0,California
Anthony Frederick,130000,201.0,California
Anthony Goldwire,330000,185.0,Florida
Anthony Johnson,2640000,196.0,California
Anthony Mason,5550000,201.0,Florida
Anthony Miller,550000,206.0,Michigan
Anthony Morrow,4000000,196.0,North Carolina
Anthony Parker,4550000,198.0,Illinois
Anthony Peeler,3350812,193.0,Missouri
Anthony Pullard,140000,208.0,Louisiana
