,Player,WS
0,A.C. Green,94.60000000000001
1,A.J. Bramlett,-0.2
2,A.J. English,1.1
3,A.J. Guyton,0.30000000000000004
4,A.J. Hammons,0.0
5,A.J. Price,4.4
6,A.J. Wynder,0.0
7,Aaron Brooks,15.100000000000001
8,Aaron Gordon,21.8
9,Aaron Gray,5.1000000000000005
10,Aaron Harrison,-0.2
11,Aaron Holiday,3.0
12,Aaron Jackson,0.0
13,Aaron James,8.1
14,Aaron McKie,35.1
15,Aaron Miles,0.0
16,Aaron Swinson,0.0
17,Aaron Williams,25.799999999999997
18,Abdel Nader,2.2
19,Abdul Jeelani,5.4
20,Acie Earl,0.3
21,Acie Law,0.6
22,Adam Keefe,24.9
23,Adam Mokoka,0.2
24,Adam Morrison,-1.5
25,Admiral Schofield,0.1
26,Adonal Foyle,18.400000000000002
27,Adonis Jordan,-0.1
28,Adreian Payne,-0.09999999999999998
29,Adrian Branch,2.1
30,Adrian Caldwell,0.7999999999999999
31,Adrian Dantley*,134.39999999999998
32,Adrian Griffin,16.3
33,Al Eberhard,2.7
34,Al Fleming,0.0
35,Al Harrington,34.4
36,Al Horford,91.30000000000001
37,Al Jefferson,70.99999999999999
38,Al Skinner,6.2
39,Al Thornton,2.4000000000000004
40,Al Wood,15.200000000000003
41,Al-Farouq Aminu,27.599999999999998
42,Alaa Abdelnaby,2.5
43,Alan Anderson,7.2
44,Alan Hardy,0.0
45,Alan Henderson,28.100000000000005
46,Alan Ogg,0.8
47,Alan Williams,2.5000000000000004
48,Alando Tucker,0.2
49,Albert King,16.4
50,Alec Burks,11.6
51,Alec Kessler,2.0
52,Alec Peters,0.3
53,Aleksandar Djordjevic,0.1
54,Aleksandar Radojevi?,-0.4
55,Alen Smailagić,0.2
56,Alex Acker,-0.2
57,Alex Blackwell,0.0
58,Alex Bradley,0.4
59,Alex Caruso,3.8
60,Alex English*,100.6
61,Alex Garcia,-0.2
62,Alex Kirk,0.0
63,Alex Len,15.600000000000001
64,Alex Poythress,0.9
65,Alex Scales,0.0
66,Alex Stivrins,-0.1
67,Alexander Johnson,1.5
68,Alexander Volkov,4.4
69,Alexey Shved,1.0
70,Alexis Ajinça,7.2
71,Alfonzo McKinnie,2.4000000000000004
72,Alfredrick Hughes,-0.5
73,Alize Johnson,0.3
74,Allan Bristow,20.4
75,Allan Houston,55.2
76,Allan Ray,0.6
77,Allen Crabbe,13.900000000000002
78,Allen Iverson*,89.1
79,Allen Leavell,29.799999999999994
80,Allen Murphy,-0.1
81,Allonzo Trier,1.4
82,Alonzo Bradley,-0.2
83,Alonzo Gee,7.4
84,Alonzo Mourning*,88.5
85,Alphonso Ford,-0.30000000000000004
86,Alton Ford,0.8
87,Alton Lister,35.7
88,Alvan Adams,66.2
89,Alvin Heggs,0.1
90,Alvin Jones,0.1
91,Alvin Robertson,48.800000000000004
92,Alvin Scott,23.1
93,Alvin Sims,-0.1
94,Alvin Williams,20.2
95,Amal McCaskill,0.39999999999999997
96,Amar'e Stoudemire,88.90000000000002
97,Amile Jefferson,0.4
98,Amir Coffey,0.1
99,Amir Johnson,55.300000000000004
100,Anderson Varejão,45.49999999999999
101,Andrae Patterson,0.7999999999999999
102,Andray Blatche,19.299999999999997
103,Andre Barrett,0.0
104,Andre Brown,0.30000000000000004
105,Andre Dawkins,-0.1
106,Andre Drummond,56.50000000000001
107,Andre Emmett,0.1
108,Andre Iguodala,97.1
109,Andre Ingram,0.2
110,Andre McCarter,1.1
111,Andre Miller,89.6
112,Andre Moore,0.0
113,Andre Owens,0.2
114,Andre Roberson,12.7
115,Andre Turner,1.7999999999999998
116,Andre Wakefield,-1.1
117,Andrea Bargnani,18.8
118,Andreas Glyniadakis,-0.2
