player,birth_state
Aaron Brooks,Washington
Aaron Gordon,California
Aaron Gray,California
Aaron Harrison,Texas
Aaron James,Louisiana
Aaron McKie,Pennsylvania
Aaron Miles,Oregon
Aaron Swinson,Georgia
Aaron Williams,Illinois
Abdul Jeelani,Tennessee
Acie Earl,Illinois
Acie Law,Texas
Adam Harrington,Massachusetts
Adam Keefe,California
Adam Morrison,Montana
Adonal Foyle,Saint Vincent and the Grenadines
Adonis Jordan,New York
Adonis Thomas,Tennessee
Adreian Payne,Ohio
Adrian Branch,District of Columbia
Adrian Caldwell,Texas
Adrian Dantley*,District of Columbia
Adrian Griffin,Kansas
Adrian Smith,Kentucky
Al Attles,New Jersey
Al Bianchi,New York
Al Butler,New York
Al Carlson,California
Al Cervi*,New York
Al Eberhard,Iowa
Al Ferrari,New York
Al Fleming,Illinois
Al Harrington,New Jersey
Al Horford,Dominican Republic
Al Jackson,Ohio
Al Jefferson,Mississippi
Al Skinner,New York
Al Thornton,Georgia
Al Tucker,Ohio
Al Wood,Georgia
Alaa Abdelnaby,Egypt
Alan Anderson,Minnesota
Alan Hardy,Michigan
Alan Henderson,Indiana
Alan Ogg,Ohio
Alan Sawyer,California
Alando Tucker,Ohio
Albert King,New York
Alec Burks,Missouri
Alec Kessler,Minnesota
Aleksandar Djordjevic,Serbia
Aleksandar Radojevic,Montenegro
Alex Abrines,Spain
Alex Acker,California
Alex Blackwell,New Jersey
Alex Bradley,Mississippi
Alex English*,South Carolina
Alex Garcia,Brazil
Alex Groza,Ohio
Alex Hannum*,California
Alex Kirk,New Mexico
Alex Len,Ukraine
Alex Poythress,Georgia
Alex Scales,Wisconsin
Alex Stepheson,California
Alex Stivrins,Nebraska
Alexander Johnson,Georgia
Alexander Volkov,Russia
Alexey Shved,Russia
Alexis Ajinca,France
Al-Farouq Aminu,Georgia
Alfred McGuire*,New York
Allan Bristow,Virginia
Allan Houston,Kentucky
Allan Ray,New York
Allen Crabbe,California
Allen Iverson*,Virginia
Allen Leavell,Indiana
Allen Murphy,Alabama
Allie McGuire,New York
Alonzo Bradley,Mississippi
Alonzo Gee,Florida
Alonzo Mourning*,Virginia
Alphonso Ford,Mississippi
Alton Ford,Mississippi
Alton Lister,Texas
Alvan Adams,Kansas
Alvin Heggs,Florida
Alvin Jones,Luxembourg
Alvin Robertson,Ohio
Alvin Scott,Tennessee
Alvin Sims,Kentucky
Amal McCaskill,Illinois
Amar'e Stoudemire,Florida
Amir Johnson,California
Anderson Varejao,Brazil
Andrae Patterson,California
Andray Blatche,New York
Andre Barrett,New York
Andre Brown,Illinois
Andre Dawkins,Virginia
Andre Drummond,New York
Andre Emmett,Texas
Andre Iguodala,Illinois
Andre McCarter,Pennsylvania
Andre Miller,Michigan
Andre Moore,Illinois
Andre Owens,Indiana
Andre Roberson,Tennessee
Andre Spencer,California
Andre Turner,Tennessee
Andre Wakefield,Illinois
Andrea Bargnani,Italy
Andreas Glyniadakis,Greece
Andrei Kirilenko,Russia
Andres Guibert,Cuba
Andres Nocioni,Argentina
Andrew Bogut,Australia
Andrew Bynum,New Jersey
Andrew DeClercq,Michigan
Andrew Gaze,Australia
Andrew Goudelock,Georgia
Andrew Harrison,Texas
Andrew Lang,Arkansas
Andrew Levane,New York
Andrew Nicholson,Canada
Andrew Toney,Alabama
Andrew Wiggins,Canada
Andris Biedrins,Latvia
Andy Johnson,California
Andy Panko,Pennsylvania
Andy Phillip*,Illinois
Andy Rautins,New York
Andy Toolson,Illinois
Andy Walker,New York
Anfernee Hardaway,Tennessee
Ansu Sesay,North Carolina
Antawn Jamison,Louisiana
Anthony Avent,North Carolina
Anthony Bennett,Canada
Anthony Bonner,Missouri
Anthony Bowie,Oklahoma
Anthony Brown,Illinois
Anthony Carter,Wisconsin
Anthony Cook,California
Anthony Davis,California
Anthony Frederick,California
Anthony Goldwire,Florida
Anthony Grundy,Kentucky
Anthony Johnson,California
Anthony Jones,District of Columbia
Anthony Mason,Florida
Anthony Miller,Michigan
Anthony Morrow,North Carolina
Anthony Parker,Illinois
Anthony Peeler,Missouri
Anthony Pullard,Louisiana
Anthony Randolph,Germany
Anthony Roberson,Tennessee
Anthony Roberts,Tennessee
Anthony Taylor,California
Anthony Tolliver,Missouri
Anthony Tucker,District of Columbia
Antoine Carr,Oklahoma
Antoine Rigaudeau,France
Antoine Walker,New York
Antoine Wright,California
Antonio Anderson,New York
Antonio Burks,Tennessee
Antonio Daniels,Ohio
Antonio Davis,California
Antonio Harvey,Mississippi
Antonio Lang,Arkansas
Antonio McDyess,Mississippi
Antonis Fotsis,Greece
Archie Clark,Arkansas
Archie Dees,Mississippi
Archie Goodwin,Arkansas
Ariel Maughan,Utah
Arinze Onuaku,Maryland
Armen Gilliam,Pennsylvania
Armon Johnson,Minnesota
Armond Hill,New York
Arnett Moultrie,New York
Arnie Ferrin,Utah
Arnie Johnson,Minnesota
Arnie Risen*,Kentucky
Aron Baynes,New Zealand
Arron Afflalo,California
Art Collins,Georgia
Art Heyman,New York
Art Long,New York
Art Spector,Pennsylvania
Art Williams,Texas
Artis Gilmore*,Florida
Arvid Kramer,Minnesota
Arvydas Macijauskas,Lithuania
Arvydas Sabonis*,Lithuania
Ashraf Amaya,Illinois
Askia Jones,Pennsylvania
Audie Norris,Mississippi
Austin Carr,District of Columbia
Austin Croshere,California
Austin Daye,California
Austin Rivers,California
Avery Bradley,Washington
Avery Johnson,Louisiana
Awvee Storey,Illinois
Axel Toupane,France
Bailey Howell*,Tennessee
Baron Davis,California
Barry Clemens,Ohio
Barry Kramer,New York
Barry Orms,Missouri
Barry Stevens,Michigan
Barry Sumpter,Illinois
Bart Kofoed,Nebraska
Bayard Forrest,California
Belus Smawley,North Carolina
Ben Clyde,Georgia
Ben Coleman,Minnesota
Ben Davis,Florida
Ben Gillery,Michigan
Ben Gordon,United Kingdom
Ben Handlogten,Michigan
Ben Hansbrough,Missouri
Ben McDonald,California
Ben McLemore,Missouri
Ben Poquette,Michigan
Ben Uzoh,Texas
Ben Wallace,Alabama
Ben Warley,District of Columbia
Beno Udrih,Slovenia
Benoit Benjamin,Louisiana
Bernard James,Georgia
Bernard King*,New York
Bernard Robinson,District of Columbia
Bernard Thompson,Arizona
Bernard Toone,New York
Bernie Fryer,Washington
Bernie Harris,Virginia
Bernie Williams,District of Columbia
Bevo Nordmann,Missouri
Bill Bradley*,Missouri
Bill Bridges,New Mexico
Bill Buntin,Michigan
Bill Calhoun,California
Bill Cartwright,California
Bill Closs,Texas
Bill Curley,Massachusetts
Bill Edwards,Ohio
Bill Garnett,Illinois
Bill Hanzlik,Ohio
Bill Henry,Texas
Bill Hewitt,Massachusetts
Bill Hosket,Ohio
Bill Jones,Michigan
Bill Laimbeer,Massachusetts
Bill Ligon,Tennessee
Bill Martin,District of Columbia
Bill Mayfield,Michigan
Bill McGill,Texas
Bill Melchionni,Pennsylvania
Bill Mlkvy,Pennsylvania
Bill Roberts,Indiana
Bill Robinzine,Illinois
Bill Russell*,Louisiana
Bill Sharman*,Texas
Bill Walton*,California
Bill Wennington,Canada
Bill Willoughby,New Jersey
Billy Cunningham*,New York
Billy Donovan,New York
Billy Kenville,New York
Billy Knight,Pennsylvania
Billy McKinney,Illinois
Billy Owens,Pennsylvania
