name,value,year,lastValue,rank
California,25,1990,25,1
Alabama,8,1990,8,2
Arkansas,7,1990,7,3
Connecticut,6,1990,6,4
Arizona,3,1990,3,5
Colorado,1,1990,1,6
Delaware,1,1990,1,7
Alaska,0,1990,0,8
California,29,1991,25,1
Alabama,9,1991,8,2
Arkansas,6,1991,7,3
Connecticut,6,1991,6,4
Arizona,2,1991,3,5
Colorado,2,1991,1,6
Delaware,1,1991,1,7
Alaska,0,1991,0,8
California,30,1992,25,1
Alabama,8,1992,8,2
Connecticut,6,1992,6,3
Arkansas,5,1992,7,4
Arizona,1,1992,3,5
Colorado,1,1992,1,6
Delaware,1,1992,1,7
Alaska,0,1992,0,8
California,41,1993,25,1
Alabama,11,1993,8,2
Connecticut,8,1993,6,3
Arkansas,4,1993,7,4
Arizona,1,1993,3,5
Colorado,1,1993,1,6
Delaware,1,1993,1,7
Alaska,0,1993,0,8
California,30,1994,25,1
Alabama,8,1994,8,2
Arkansas,4,1994,7,3
Connecticut,4,1994,6,4
Arizona,2,1994,3,5
Colorado,2,1994,1,6
Delaware,1,1994,1,7
Alaska,0,1994,0,8
California,34,1995,25,1
Alabama,11,1995,8,2
Arkansas,6,1995,7,3
Connecticut,4,1995,6,4
Colorado,2,1995,1,5
Arizona,1,1995,3,6
Delaware,1,1995,1,7
Alaska,0,1995,0,8
California,29,1996,25,1
Alabama,14,1996,8,2
Arkansas,8,1996,7,3
Connecticut,3,1996,6,4
Colorado,2,1996,1,5
Arizona,1,1996,3,6
Delaware,1,1996,1,7
Alaska,0,1996,0,8
California,34,1997,25,1
Alabama,12,1997,8,2
Arkansas,7,1997,7,3
Connecticut,5,1997,6,4
Colorado,3,1997,1,5
Arizona,1,1997,3,6
Delaware,1,1997,1,7
Alaska,0,1997,0,8
California,37,1998,25,1
Alabama,13,1998,8,2
Arkansas,8,1998,7,3
Connecticut,5,1998,6,4
Colorado,2,1998,1,5
Alaska,0,1998,0,6
Arizona,0,1998,3,7
Delaware,0,1998,1,8
California,32,1999,25,1
Alabama,7,1999,8,2
Arkansas,6,1999,7,3
Connecticut,4,1999,6,4
Arizona,1,1999,3,5
Colorado,1,1999,1,6
Alaska,0,1999,0,7
Delaware,0,1999,1,8
California,46,2000,25,1
Alabama,10,2000,8,2
Colorado,4,2000,1,3
Arkansas,3,2000,7,4
Connecticut,1,2000,6,5
Delaware,1,2000,1,6
Alaska,0,2000,0,7
Arizona,0,2000,3,8
California,45,2001,25,1
Alabama,13,2001,8,2
Arkansas,4,2001,7,3
Colorado,4,2001,1,4
Connecticut,3,2001,6,5
Alaska,0,2001,0,6
Arizona,0,2001,3,7
Delaware,0,2001,1,8
California,45,2002,25,1
Alabama,12,2002,8,2
Arkansas,3,2002,7,3
Connecticut,2,2002,6,4
Colorado,1,2002,1,5
Alaska,0,2002,0,6
Arizona,0,2002,3,7
Delaware,0,2002,1,8
California,45,2003,25,1
Alabama,11,2003,8,2
Arkansas,4,2003,7,3
Colorado,3,2003,1,4
Connecticut,1,2003,6,5
Alaska,0,2003,0,6
Arizona,0,2003,3,7
Delaware,0,2003,1,8
California,35,2004,25,1
Alabama,9,2004,8,2
Colorado,4,2004,1,3
Arkansas,2,2004,7,4
Alaska,0,2004,0,5
Arizona,0,2004,3,6
Connecticut,0,2004,6,7
Delaware,0,2004,1,8
California,40,2005,25,1
Alabama,6,2005,8,2
Colorado,5,2005,1,3
Connecticut,3,2005,6,4
Arkansas,2,2005,7,5
Delaware,2,2005,1,6
Alaska,0,2005,0,7
Arizona,0,2005,3,8
California,32,2006,25,1
Alabama,5,2006,8,2
Colorado,3,2006,1,3
Delaware,2,2006,1,4
Arkansas,1,2006,7,5
Alaska,0,2006,0,6
Arizona,0,2006,3,7
Connecticut,0,2006,6,8
California,35,2007,25,1
Alabama,6,2007,8,2
Colorado,6,2007,1,3
Arkansas,5,2007,7,4
Connecticut,2,2007,6,5
Delaware,2,2007,1,6
Alaska,0,2007,0,7
Arizona,0,2007,3,8
California,44,2008,25,1
Arkansas,5,2008,7,2
Alabama,4,2008,8,3
Colorado,3,2008,1,4
Connecticut,3,2008,6,5
Delaware,2,2008,1,6
Arizona,1,2008,3,7
Alaska,0,2008,0,8
California,48,2009,25,1
Arkansas,5,2009,7,2
Alabama,3,2009,8,3
Connecticut,2,2009,6,4
Alaska,1,2009,0,5
Arizona,1,2009,3,6
Colorado,1,2009,1,7
Delaware,1,2009,1,8
California,44,2010,25,1
Arkansas,7,2010,7,2
Alabama,6,2010,8,3
Arizona,2,2010,3,4
Connecticut,2,2010,6,5
Delaware,2,2010,1,6
Colorado,1,2010,1,7
Alaska,0,2010,0,8
California,53,2011,25,1
Alabama,8,2011,8,2
Arkansas,5,2011,7,3
Connecticut,3,2011,6,4
Arizona,2,2011,3,5
Colorado,2,2011,1,6
Alaska,1,2011,0,7
Delaware,0,2011,1,8
California,54,2012,25,1
Arkansas,6,2012,7,2
Alabama,4,2012,8,3
Connecticut,3,2012,6,4
Alaska,1,2012,0,5
Arizona,1,2012,3,6
Colorado,1,2012,1,7
Delaware,0,2012,1,8
California,51,2013,25,1
Arkansas,6,2013,7,2
Alabama,5,2013,8,3
Connecticut,3,2013,6,4
Alaska,1,2013,0,5
Arizona,1,2013,3,6
Colorado,1,2013,1,7
Delaware,0,2013,1,8
California,66,2014,25,1
Alabama,5,2014,8,2
Arizona,5,2014,3,3
Arkansas,5,2014,7,4
Alaska,1,2014,0,5
Connecticut,1,2014,6,6
Colorado,0,2014,1,7
Delaware,0,2014,1,8
California,70,2015,25,1
Arkansas,7,2015,7,2
Alabama,6,2015,8,3
Arizona,4,2015,3,4
Alaska,1,2015,0,5
Colorado,0,2015,1,6
Connecticut,0,2015,6,7
Delaware,0,2015,1,8
California,59,2016,25,1
Arkansas,6,2016,7,2
Alabama,5,2016,8,3
Arizona,2,2016,3,4
Connecticut,2,2016,6,5
Alaska,0,2016,0,6
Colorado,0,2016,1,7
Delaware,0,2016,1,8
California,49,2017,25,1
Alabama,5,2017,8,2
Arkansas,3,2017,7,3
Arizona,2,2017,3,4
Connecticut,2,2017,6,5
Alaska,1,2017,0,6
Colorado,0,2017,1,7
Delaware,0,2017,1,8
