State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
US Total ,291,312,311,327,283,313,324,322,305,299,350,379,342,330,323,354,280,304,332,344,298,344,321,288,374,388,402,311
Illinois,29,26,25,23,21,19,23,21,21,17,22,24,26,18,21,23,28,28,26,26,20,25,22,19,21,21,24,20
California,25,29,30,41,30,34,29,34,37,32,46,45,45,45,35,40,32,35,44,48,44,53,54,51,66,70,59,49
New York,23,22,27,28,24,29,29,23,21,24,27,32,30,24,28,31,22,26,29,33,28,31,29,19,23,25,21,15
Foreign Country,19,19,18,22,17,22,23,27,29,27,33,51,58,55,63,67,70,69,60,79,73,77,74,78,107,110,125,99
Ohio,14,13,10,11,8,13,15,15,15,18,20,19,19,19,17,17,10,8,11,11,7,8,6,9,10,11,14,8
Michigan,13,13,16,15,16,12,20,16,14,14,25,25,22,21,22,22,18,9,16,14,14,13,11,11,14,14,13,11
Georgia,12,17,16,14,16,18,19,22,19,18,21,21,15,16,14,17,9,7,8,11,9,12,15,13,15,18,18,12
Florida,11,12,12,13,11,12,14,17,11,12,16,21,17,17,20,20,14,16,18,19,16,19,12,11,14,12,18,12
Maryland,11,11,7,8,5,8,9,7,8,8,7,7,6,6,7,8,7,6,8,8,7,8,9,11,14,12,20,11
North Carolina,11,12,11,12,9,13,10,7,11,8,8,6,9,7,9,10,10,11,10,11,7,9,9,7,13,9,10,9
Texas,11,10,8,8,13,14,15,14,12,11,15,17,13,18,20,21,18,22,22,23,21,25,19,12,22,25,26,20
Pennsylvania,10,14,12,13,10,13,15,19,14,22,15,16,14,15,15,19,20,19,18,16,11,13,16,11,12,15,14,9
Virginia,10,10,10,9,11,11,12,11,8,10,11,11,7,9,3,2,2,3,3,3,2,5,9,7,8,11,13,9
Louisiana,9,10,16,11,12,9,9,8,6,8,9,10,5,5,5,6,6,11,10,9,12,13,14,14,17,17,15,11
New Jersey,9,9,12,11,11,10,8,9,12,13,11,14,10,9,9,9,8,9,10,10,9,12,10,11,7,7,8,7
Alabama,8,9,8,11,8,11,14,12,13,7,10,13,12,11,9,6,5,6,4,3,6,8,4,5,5,6,5,5
Indiana,8,9,5,5,6,6,7,7,7,6,9,10,12,9,9,9,4,5,7,9,9,9,9,9,14,14,19,15
Arkansas,7,6,5,4,4,6,8,7,8,6,3,4,3,4,2,2,1,5,5,5,7,5,6,6,5,7,6,3
