Player,birth_state
Cliff Barker,Indiana
Ralph Beard,Kentucky
Charlie Black,Idaho
Nelson Bobb,Pennsylvania
Jake Bornheimer,New Jersey
Vince Boryla,Indiana
Don Boven,Michigan
Harry Boykoff,New York
Joe Bradley,Oklahoma
Carl Braun,New York
Frankie Brian,Louisiana
Price Brookfield,Texas
Bob Brown,Ohio
Jim Browne,Illinois
Walt Budko,New Jersey
Tommy Byrnes,New Jersey
Bill Calhoun,California
Don Carlson,Minnesota
Al Cervi*,New York
Leroy Chollet,Louisiana
Bill Closs,Texas
Jack Coleman,Kentucky
Jack Cotton,Montana
Dillard Crocker,Tennessee
Chink Crossin,Pennsylvania
Fran Curran,Illinois
Bob Davies*,Pennsylvania
Hook Dillon,Georgia
Bob Doll,Colorado
Harry Donovan,New Jersey
Dike Eddleman,Illinois
Gene Englund,Wisconsin
Bob Evans,Indiana
Johnny Ezersky,New York
Bob Feerick,California
Arnie Ferrin,Utah
Jerry Fleishman,New York
Joe Fulks*,Kentucky
Elmer Gainer,Illinois
Harry Gallatin*,Illinois
Vern Gardner,Wyoming
Bud Grant,Wisconsin
Don Grate,Ohio
Alex Groza,Ohio
Chick Halbert,Texas
Bruce Hale,Oregon
Alex Hannum*,California
John Hargis,Texas
Bob Harris,Tennessee
Bob Harrison,Tennessee
Marshall Hawkins,West Virginia
Bill Henry,Texas
Kleggie Hermsen,Minnesota
Sonny Hertzberg,New York
Red Holzman*,New York
Gene James,Ohio
Tony Jaros,Minnesota
Buddy Jeannette*,Pennsylvania
Arnie Johnson,Minnesota
George Kaftan,New York
Bob Kinney,Kansas
Walt Kirk,Illinois
Leo Klier,Indiana
Duane Klueh,North Dakota
Lee Knorek,Poland
Tony Lavelli,Massachusetts
Andrew Levane,New York
Freddie Lewis,New York
John Logan,Indiana
Ray Lumpp,New York
Ed Macauley*,Missouri
John Mahnken,New Jersey
John Mandic,California
Slater Martin*,Texas
Ariel Maughan,Utah
Matt Mazza,New York
Dick McGuire*,New York
Bones McKinney,North Carolina
George Mikan*,Illinois
Vern Mikkelsen*,California
Joe Mullaney,New York
Jerry Nagel,Illinois
Richie Niemiera,Illinois
Paul Noel,Kentucky
Jim Nolan,Georgia
Johnny Norlander,Minnesota
George Nostrand,New York
Mike Novak,Illinois
Dick O'Keefe,California
John Oldham,Kentucky
Gene Ollrich,Indiana
Johnny Orr,Kansas
Don Otten,Ohio
Mac Otten,Ohio
Easy Parham,Texas
Jack Parkinson,Indiana
Warren Perkins,Louisiana
Jack Phelan,Illinois
Andy Phillip*,Illinois
Jim Pollard*,California
George Ratkovicz,Illinois
Don Ray,Tennessee
Arnie Risen*,Kentucky
Tex Ritter,Kentucky
Bill Roberts,Indiana
Red Rocha,Hawaii
Kenny Rollins,Missouri
Jerry Rullo,Pennsylvania
Ed Sadowski,Pennsylvania
Kenny Sailors,Nebraska
Herm Schaefer,Indiana
Fred Schaus,Ohio
Dolph Schayes*,New York
Howie Schultz,Minnesota
Dick Schulz,Wisconsin
Fred Scolari,California
Wayne See,Arizona
Rollie Seltz,Minnesota
Jim Seminoff,California
George Senesky,Pennsylvania
Paul Seymour,Ohio
Carl Shaeffer,Indiana
Howie Shannon,Kansas
Connie Simmons,New Jersey
Belus Smawley,North Carolina
Jack Smiley,Illinois
Art Spector,Pennsylvania
Jack Toomay,California
Bob Tough,New York
Blackie Towery,Kentucky
Dick Triptow,Illinois
Ernie Vandeweghe,Canada
Floyd Volker,Wyoming
Clint Wager,Minnesota
Brady Walker,Utah
Paul Walther,Kentucky
Bobby Wanzer*,New York
Murray Wier,Iowa
Max Zaslofsky,New York
Paul Arizin*,Pennsylvania
Ike Borsavage,Pennsylvania
Gerry Calabrese,New Jersey
Nat Clifton*,Arkansas
Bob Cousy*,New York
Ray Ellefson,South Dakota
Larry Foust,Ohio
Don Lofgran,California
Tommy O'Keefe,New Jersey
Kevin O'Shea,California
Don Rehfeldt,Illinois
Alan Sawyer,California
Dick Schnittker,Ohio
Bill Sharman*,Texas
Don Barksdale*,California
Elmer Behnke,Illinois
Dick Dickey,Indiana
Lew Hitch,Illinois
Mel Hutchins,California
Neil Johnston*,Ohio
George King,West Virginia
John McConathy,Louisiana
Alfred McGuire*,New York
Ralph O'Brien,Kentucky
John Pilch,Wyoming
Sam Ranzino,Indiana
Whitey Skoog,Minnesota
Jim Baechtold,Pennsylvania
Jim Brasco,New York
Dick Bunt,New York
Gene Conley,Oklahoma
Dick Groat,Pennsylvania
Jack McCloskey,Pennsylvania
Monk Meineke,Ohio
Bill Mlkvy,Pennsylvania
Mark Workman,West Virginia
Zeke Zawoluk,New York
Don Ackerman,New York
Don Asmonga,Pennsylvania
Ernie Barrett,Kansas
Ernie Beck,Pennsylvania
Walt Davis,Texas
Ray Felix,New York
Jack George,Pennsylvania
Norm Grekin,Pennsylvania
Bob Houbregs*,Canada
Billy Kenville,New York
Dick Knostman,Kansas
Clyde Lovellette*,Indiana
Jack Molinas,New York
Bob Peterson,California
James Phelan,Illinois
Ed Smith,Ohio
Don Sunderlage,Illinois
Norm Swanson,Illinois
Isaac Walthour,New York
George Yardley*,California
Larry Costello,New York
George Dempsey,Pennsylvania
Chuck Grigsby,Ohio
Herm Hedderick,Pennsylvania
Mike Kearns,New Jersey
Red Kerr,Illinois
Jackie Moore,Pennsylvania
Togo Palazzi,New Jersey
Bob Pettit*,Louisiana
Frank Ramsey*,Kentucky
Frank Selvy,Kentucky
Gene Shue,Maryland
Jim Tucker,Kentucky
Jack Turner,Indiana
Bobby Watson,Kentucky
Jesse Arnelle,New York
Dick Atha,Indiana
Walter Dukes,New York
Al Ferrari,New York
Dick Garmaker,Minnesota
Tom Gola*,Pennsylvania
Chris Harris,United Kingdom
Dick Hemric,North Carolina
Jim Loscutoff,California
Chuck Mencel,Wisconsin
Med Park,South Dakota
Richie Regan,New Jersey
Dick Ricketts,Pennsylvania
Bob Santini,New York
Kenny Sears,California
Maurice Stokes*,Pennsylvania
Jack Twyman*,Pennsylvania
Bob Armstrong,Michigan
Gary Bergen,Missouri
Al Bianchi,New York
Bob Burrow,Arkansas
Si Green,New York
Richie Guerin*,New York
Cliff Hagan*,Kentucky
Tom Heinsohn*,New Jersey
Bob Hopkins,Louisiana
Phil Jordon,California
Hal Lear,Pennsylvania
Slick Leonard*,Indiana
Willie Naulls,Texas
Jim Paxson,Indiana
Bill Russell*,Louisiana
Ron Shavlik,Colorado
Ron Sobie,Illinois
Norm Stewart,Missouri
Lou Tsioropoulos,Massachusetts
Bo Erias,New York
Larry Friend,Illinois
Sam Jones*,North Carolina
Jim Krebs,Missouri
Brendan McCann,New York
Worthy Patterson,Connecticut
Lennie Rosenbluth,New York
Woody Sauldsberry,Louisiana
Guy Sparrow,Michigan
Charlie Tyra,Kentucky
Jim Walsh,California
Elgin Baylor*,District of Columbia
Jerry Bird,Kentucky
Bucky Bockhorn,Illinois
Pete Brennan,New York
Archie Dees,Mississippi
Connie Dierking,New York
Wayne Embry*,Ohio
Mike Farmer,Oklahoma
Dave Gambee,Oregon
Hal Greer*,West Virginia
Steve Hamilton,Kentucky
Vern Hatton,Kentucky
Andy Johnson,California
Tommy Kearns,New York
Jim Palmer,Virginia
Jack Parr,Kentucky
Hub Reed,Oklahoma
Guy Rodgers*,Pennsylvania
Phil Rollins,Kentucky
Bob Anderegg,Wisconsin
Dick Barnett,Indiana
Whitey Bell,Kentucky
Wilt Chamberlain*,Pennsylvania
Bob Ferry,Missouri
Johnny Green,Ohio
Gene Guarilia,Pennsylvania
Tom Hawkins,Illinois
Bailey Howell*,Tennessee
Rudy LaRusso,New York
Cal Ramsey,Alabama
Joe Ruklick,Illinois
Al Attles,New Jersey
Bob Boozer,Nebraska
Dave Budd,New Jersey
Ralph Davis,Kentucky
Darrall Imhoff,California
Pickles Kennedy,Pennsylvania
Bob McNeill,Pennsylvania
Jackie Moreland,Louisiana
Don Ohl,Illinois
Oscar Robertson*,Tennessee
Tom Sanders*,New York
Jerry West*,West Virginia
Lenny Wilkens*,New York
Walt Bellamy*,North Carolina
George Blaney,New Jersey
Cleveland Buckner,Mississippi
Donnie Butcher,Kentucky
Al Butler,New York
Howie Carl,Illinois
Jimmy Darrow,Ohio
Johnny Egan,Connecticut
Cleo Hill,New Jersey
Ron Horn,Indiana
York Larese,New York
Tom Meschery,China
Bevo Nordmann,Missouri
Gary Phillips,Illinois
Ray Scott,Pennsylvania
Lee Shaffer,Illinois
Adrian Smith,Kentucky
Sam Stith,Virginia
Horace Walker,Pennsylvania
John Barnhill,Kentucky
Zelmo Beaty*,Texas
Bill Bridges,New Mexico
Len Chappell,Pennsylvania
Johnny Cox,Kentucky
Dave DeBusschere*,Michigan
Terry Dischinger,Indiana
Danny Doyle,New York
Leroy Ellis,New York
Jack Foley,Massachusetts
Charlie Hardnett,Georgia
John Havlicek*,Ohio
Wayne Hightower,Pennsylvania
Kevin Loughery,New York
Bill McGill,Texas
Don Nelson*,Michigan
John Rudometkin,California
Tom Stith,Virginia
Dan Swartz,Kentucky
Dan Tieman,Kentucky
Chico Vaughn,Oregon
Chet Walker*,Mississippi
Ben Warley,District of Columbia
Jay Arnette,Texas
Mel Gibson,North Carolina
Jerry Harkness,New York
Art Heyman,New York
Tom Hoover,District of Columbia
Gus Johnson*,Ohio
Jim King,Oklahoma
Don Kojis,Wisconsin
Jerry Lucas*,Ohio
Eddie Miles,Arkansas
Mel Peterson,Minnesota
Larry Siegfried,Ohio
Roger Strickland,Florida
Tom Thacker,Kentucky
Rod Thorn,West Virginia
Nate Thurmond*,Ohio
Jim Barnes,Arkansas
Ron Bonham,Indiana
Gary Bradds,Ohio
Em Bryant,Illinois
Joe Caldwell,Texas
Mel Counts,Oregon
Happy Hairston,North Carolina
Les Hunter,Tennessee
Luke Jackson,Texas
Larry Jones,Ohio
Wali Jones,Kentucky
Howard Komives,Ohio
Bud Koper,Oklahoma
Barry Kramer,New York
McCoy McLemore,Texas
