player,season_start,season_end
A.C. Green,1990,1991
A.C. Green,1991,1992
A.C. Green,1992,1993
A.C. Green,1993,1994
A.C. Green,1994,1995
A.C. Green,1995,1996
A.C. Green,1996,1997
A.C. Green,1998,1999
A.C. Green,1999,2000
A.C. Green,2000,2001
A.J. Bramlett,1999,2000
A.J. English,1990,1991
A.J. English,1991,1992
A.J. English,1992,1993
A.J. English,1993,1994
A.J. English,1993,1994
A.J. Guyton,2000,2001
A.J. Guyton,2001,2002
A.J. Guyton,2002,2003
A.J. Hammons,2016,2017
A.J. Hammons,2017,2018
A.J. Price,2009,2010
A.J. Price,2010,2011
A.J. Price,2011,2012
A.J. Price,2012,2013
A.J. Price,2014,2015
A.J. Wynder,1990,1991
A.J. Wynder,1991,1992
A.J. Wynder,1992,1993
Aaron Brooks,2008,2009
Aaron Brooks,2009,2010
Aaron Brooks,2012,2013
Aaron Brooks,2013,2014
Aaron Brooks,2013,2014
Aaron Brooks,2015,2016
Aaron Brooks,2016,2017
Aaron Brooks,2017,2018
Aaron Craft,2014,2015
Aaron Gordon,2014,2015
Aaron Gordon,2015,2016
Aaron Gordon,2016,2017
Aaron Gordon,2017,2018
Aaron Gray,2007,2008
Aaron Gray,2008,2009
Aaron Gray,2009,2010
Aaron Gray,2010,2011
Aaron Gray,2011,2012
Aaron Gray,2012,2013
Aaron Gray,2013,2014
Aaron Gray,2014,2015
Aaron Gray,2015,2016
Aaron Gray,2016,2017
Aaron Gray,2017,2018
Aaron Harrison,2015,2016
Aaron Harrison,2016,2017
Aaron McKie,1994,1995
Aaron McKie,1995,1996
Aaron McKie,1996,1997
Aaron McKie,1997,1998
Aaron McKie,1998,1999
Aaron McKie,1999,2000
Aaron McKie,2001,2002
Aaron McKie,2004,2005
Aaron McKie,2005,2006
Aaron McKie,2005,2006
Aaron McKie,2006,2007
Aaron McKie,2006,2007
Aaron McKie,2007,2008
Aaron Miles,2005,2006
Aaron Swinson,1994,1995
Aaron Williams,1994,1995
Aaron Williams,1996,1997
Aaron Williams,1997,1998
Aaron Williams,1998,1999
Aaron Williams,1999,2000
Aaron Williams,2000,2001
Aaron Williams,2001,2002
Aaron Williams,2002,2003
Aaron Williams,2003,2004
Aaron Williams,2004,2005
Aaron Williams,2005,2006
Aaron Williams,2006,2007
Aaron Williams,2007,2008
Abdel Nader,2017,2018
Acie Earl,1993,1994
Acie Earl,1994,1995
Acie Earl,1995,1996
Acie Earl,1996,1997
Acie Earl,1997,1998
Acie Law,2007,2008
Acie Law,2008,2009
Acie Law,2009,2010
Acie Law,2010,2011
Acie Law,2010,2011
Adam Harrington,2002,2003
Adam Keefe,1992,1993
Adam Keefe,1993,1994
Adam Keefe,1994,1995
Adam Keefe,1995,1996
Adam Keefe,1996,1997
Adam Keefe,1997,1998
Adam Keefe,1998,1999
Adam Keefe,2000,2001
Adam Morrison,2008,2009
Adam Morrison,2009,2010
Adonal Foyle,1997,1998
Adonal Foyle,1998,1999
Adonal Foyle,1999,2000
Adonal Foyle,2000,2001
Adonal Foyle,2001,2002
Adonal Foyle,2002,2003
Adonal Foyle,2003,2004
Adonal Foyle,2004,2005
Adonal Foyle,2005,2006
Adonal Foyle,2006,2007
Adonal Foyle,2007,2008
Adonal Foyle,2007,2008
Adonal Foyle,2008,2009
Adonal Foyle,2009,2010
Adonis Jordan,1998,1999
Adonis Thomas,2015,2016
Adreian Payne,2014,2015
Adreian Payne,2015,2016
Adreian Payne,2016,2017
Adrian Caldwell,1990,1991
Adrian Caldwell,1994,1995
Adrian Caldwell,1995,1996
Adrian Caldwell,1997,1998
Adrian Dantley,1990,1991
Adrian Griffin,1999,2000
Adrian Griffin,2000,2001
Adrian Griffin,2001,2002
Adrian Griffin,2002,2003
Adrian Griffin,2003,2004
Adrian Griffin,2005,2006
Adrian Griffin,2006,2007
Adrian Griffin,2007,2008
Adrian Griffin,2008,2009
Akil Mitchell,2014,2015
Al Harrington,2000,2001
Al Harrington,2001,2002
Al Harrington,2002,2003
Al Harrington,2003,2004
Al Harrington,2004,2005
Al Harrington,2005,2006
Al Harrington,2006,2007
Al Harrington,2007,2008
Al Harrington,2008,2009
Al Harrington,2009,2010
Al Harrington,2010,2011
Al Harrington,2011,2012
Al Harrington,2012,2013
Al Harrington,2013,2014
Al Harrington,2013,2014
Al Harrington,2014,2015
Al Horford,2007,2008
Al Horford,2008,2009
Al Horford,2009,2010
Al Horford,2010,2011
Al Horford,2011,2012
Al Horford,2012,2013
Al Horford,2013,2014
Al Horford,2014,2015
Al Horford,2015,2016
Al Horford,2016,2017
Al Horford,2017,2018
Al Jefferson,2004,2005
Al Jefferson,2005,2006
Al Jefferson,2007,2008
Al Jefferson,2008,2009
Al Jefferson,2009,2010
Al Jefferson,2010,2011
Al Jefferson,2011,2012
Al Jefferson,2012,2013
Al Jefferson,2015,2016
Al Jefferson,2016,2017
Al Jefferson,2017,2018
Al Thornton,2007,2008
Al Thornton,2008,2009
Al Thornton,2009,2010
Al Thornton,2010,2011
Alaa Abdelnaby,1990,1991
Alaa Abdelnaby,1991,1992
Alaa Abdelnaby,1992,1993
Alaa Abdelnaby,1993,1994
Alaa Abdelnaby,1994,1995
Alan Anderson,2012,2013
Alan Anderson,2013,2014
Alan Anderson,2014,2015
Alan Anderson,2015,2016
Alan Anderson,2016,2017
Alan Henderson,1995,1996
Alan Henderson,1996,1997
Alan Henderson,1997,1998
Alan Henderson,1998,1999
Alan Henderson,1999,2000
Alan Henderson,2000,2001
Alan Henderson,2001,2002
Alan Henderson,2002,2003
Alan Henderson,2003,2004
Alan Henderson,2004,2005
Alan Henderson,2005,2006
Alan Ogg,1990,1991
Alan Ogg,1991,1992
Alan Williams,2015,2016
Alan Williams,2016,2017
Alan Williams,2017,2018
Alando Tucker,2007,2008
Alando Tucker,2008,2009
Alando Tucker,2009,2010
Alec Burks,2011,2012
Alec Burks,2012,2013
Alec Burks,2013,2014
Alec Burks,2014,2015
Alec Burks,2015,2016
Alec Burks,2016,2017
Alec Burks,2017,2018
Alec Kessler,1990,1991
Alec Kessler,1991,1992
Alec Kessler,1992,1993
Alec Kessler,1993,1994
Alec Kessler,1994,1995
Aleksandar Radojevic,1999,2000
Aleksandar Radojevic,2000,2001
Aleksandar Radojevic,2001,2002
Aleksandar Radojevic,2004,2005
Alex Abrines,2016,2017
Alex Abrines,2017,2018
Alex Acker,2005,2006
Alex Acker,2006,2007
Alex Acker,2008,2009
Alex Blackwell,1992,1993
Alex Caruso,2016,2017
Alex English,1990,1991
Alex English,1991,1992
Alex Garcia,2003,2004
Alex Garcia,2004,2005
Alex Kirk,2014,2015
Alex Len,2013,2014
Alex Len,2014,2015
Alex Len,2015,2016
Alex Len,2016,2017
Alex Len,2017,2018
Alex Poythress,2016,2017
Alex Poythress,2016,2017
Alex Stepheson,2015,2016
Alex Stepheson,2015,2016
Alex Stivrins,1992,1993
Alexander Johnson,2006,2007
Alexander Johnson,2007,2008
Alexander Volkov,1990,1991
Alexander Volkov,1991,1992
Alexey Shved,2012,2013
Alexey Shved,2013,2014
Alexey Shved,2014,2015
Alexis Ajinca,2010,2011
Alexis Ajinca,2014,2015
Alexis Ajinca,2015,2016
Alexis Ajinca,2016,2017
Alexis Ajinca,2017,2018
Al-Farouq Aminu,2010,2011
Al-Farouq Aminu,2011,2012
Al-Farouq Aminu,2012,2013
Al-Farouq Aminu,2013,2014
